日期,神乐mea,凑阿夸,Kanna,战斗吧歌姬,夏色祭,綾奈nana,有栖mana,Paryi,森永miu,陆婉莹,纸木姐妹,Siva_小虾鱼_,赤井心,大神澪,兰若_Re,魔宵sakyu,shiori,安堂inari,爱夏natsu,花園serena,乌拉の帝国,某南,白音小雪,白上吹雪,千草hana,鸠子hatoko,木糖纯和庄不纯,田中姬铃木雏,静凛,高槻律,百鬼绫目,绿仙,mendako,萝卜子,莉姬リジ爱米莉,乙女oto,神楽七奈,心斎桥okuto,本间向日葵,ENA,癒月巧可,萨莎柯里克,犬山玉姬,紫咲诗音,亚绮-罗森,樱巫女,夜空梅露,椎名唯华,花芽姐妹,音俣ruka,物述有栖-爱丽丝,千鈴mei,日月咪玉,古守chiyu,綴目日傘,乐喵Channel,暁chiaki,水漠豆腐,月ノ美兔,竹轮喵Official,AnMr海外转播,Mochi Hiyoko,贝尔蒙德班德拉斯,龙胆尊,笹木咲,大空昴,KMNHZ,千寻炎哈,路人豆腐铺,天神子兔音,富士葵,清露ikuna,YuNi,美玲roa,Ame酱,宇志海莓,MEMproject,游戏部,喀秋莎秋明,赤星共和国連邦,花京院chieri,mugi,Overidea_China,森中花咲,fairys鹦鹉,幽灵子辰,來夢meruto,樋口枫,Hibiki AO,水科葵,水無瀬rui,Okome,野良喵noracat,藥袋karute,東雲恵,Azulim,未来明转播
2019/6/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/6/2,1,1,1,1,1,114,1,1,1,1,1,290,1,1,1,1,1,1,205,1,161,779,1,1,1,43,908,1,1,1,1,1,1,1,67,1,1,1,1,1,1,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019/6/3,1,1,1,1,1,70,1,1,1,1,1,1,1,1,154,1,1,1,62,1,146,387,1,1,1,32,488,1,1,1,1,1,1,1,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019/6/4,1,1,1,1,1,147,1,1,1,1,1,223,1,1,1,1,1,1,1,1,184,318,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019/6/5,1,1,1,1,1,153,1,1,1,1,1,442,1,1,1,1,1,1,1,1,129,598,1,1,1,21,106,1,1,1,1,1,1,1,63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019/6/6,1,3729,1,1,1,141,1,144,1,1,1,26,33,496,1,87,1,1,1,1,194,1332,1,1,1,40,93,1,402,1,1,1,1,149,1,1,1,1,989,1,1,1,537,407,67,114,305,1,1,57,1,1,1,193,1,1,1,13,1,1,19,1,1,1,1,20,1,120,59,1,1,1,1,34,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1
2019/6/7,1,1897,1270,2418,1,98,1,2763,1,1,218,1,1,1,1,292,400,160,1,1,245,1562,1,1,239,121,1,1,551,1,698,1,178,222,90,325,1,1,1,1,297,1,24,342,1,70,266,1,61,52,1,95,1,1,1,1,1,17,402,1,11,1,1,1,1,179,70,61,76,1,1,1,1,120,17,1,1,1,1,1,1,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019/6/8,1,4964,827,1,1,153,1378,5007,1,218,144,1,334,1,1,20,413,1,1,1,268,1662,1,1,97,95,205,1,402,1,120,411,1,121,133,1,1,1,1,1,1,1,950,880,197,365,1,1,1,1,1,66,1,1,27,1,1,9,168,1,383,1,79,1,1,89,1,176,77,1,1,34,1,443,1,1,1,1,1,1,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019/6/9,1,3268,1106,2047,2498,66,772,3904,224,256,55,265,410,866,1,414,1,52,1,237,235,1477,175,1,1,49,121,1,1,121,496,1,1,1,1,1,1,1,1,407,1,1,1492,226,79,76,1,1,1,1,138,83,230,1,41,1,1,1,1,14,1543,1,283,1,1,460,1,202,43,1,1,104,1,128,1,1,1,1,1,1,1,1,1,197,1,1,1,1,1,1,1,1,1,1,1,1,1
2019/6/10,1,3519,1,1,1701,42,2498,1,762,1,139,70,840,366,1,83,1,1066,1,129,251,786,334,1,1239,65,396,1,181,445,402,1,1,1,51,1,1,1,1,136,250,1,163,392,1,442,1,1,1,1,1,1,1,1,1,1,44,1,272,36,11,36,1,87,1,99,16,35,75,1,1,1,1,21,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
