日期,神乐mea,凑阿夸,Kanna,战斗吧歌姬,夏色祭,綾奈nana,有栖mana,Paryi,森永miu,陆婉莹,纸木姐妹,Siva_小虾鱼_,赤井心,大神澪,兰若_Re,魔宵sakyu,shiori,安堂inari,爱夏natsu,花園serena,乌拉の帝国,某南,白音小雪,白上吹雪,千草hana,鸠子hatoko,木糖纯和庄不纯,田中姬铃木雏,静凛,高槻律,百鬼绫目,绿仙,mendako,萝卜子,莉姬リジ爱米莉,乙女oto,神楽七奈,心斎桥okuto,本间向日葵,ENA,癒月巧可,萨莎柯里克,犬山玉姬,紫咲诗音,亚绮-罗森,樱巫女,夜空梅露,椎名唯华,花芽姐妹,音俣ruka,物述有栖-爱丽丝,千鈴mei,日月咪玉,古守chiyu,綴目日傘,乐喵Channel,暁chiaki,水漠豆腐,月ノ美兔,竹轮喵Official,AnMr海外转播,Mochi Hiyoko,贝尔蒙德班德拉斯,龙胆尊,笹木咲,大空昴,KMNHZ,千寻炎哈,路人豆腐铺,天神子兔音,富士葵,清露ikuna,YuNi,美玲roa,Ame酱,宇志海莓,MEMproject,游戏部,喀秋莎秋明,赤星共和国連邦,花京院chieri,mugi,Overidea_China,森中花咲,fairys鹦鹉,幽灵子辰,來夢meruto,樋口枫,Hibiki AO,水科葵,水無瀬rui,Okome,野良喵noracat,藥袋karute,東雲恵,Azulim,未来明转播,VirtualReal,猫又小粥,陽向ここみ,皆守hiiro
2019/6/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/6/2,745.2,934,0.1,0,21,425.4,8.2,198,0,0,0,1323.553,0,0,0,0,0,0,1008.4,0,81.6,199.468,3,449,0,6.3,1883.175,12,1,0,0,0,1,0,40.68,0,0.3,0,116,0,0,82.999,0,0,0,9.9,0,0,0,0.1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019/6/3,915.8,1991.4,1,40,0,33.9,0,0,0,0,0,0,29.7,217.9,232.233,0,198,0,872.5,0,251.2,3325.155,198,40.1,0,6.6,501.186,0,12,0,0,0.2,0,0.52,233.14,0,42.1,0,5,0,0.1,40,9.9,207.9,0,0,198,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019/6/4,219,797.2,2,0,19.9,411,0,0,9.9,0,0,2525.1,45.6,0,0,0,0,0,0,0,246.7,127.758,203,51.9,0,0,103.1,0,0,0,9.9,198.1,0,0,0,0,252.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.9,0,0,0,0,0,0,5,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019/6/5,1587.226,713.1,0,0,1.5,673.532,0.1,0,0,0,0,2674.031,227.3,198,0,0,198,0,0,0,217.499,88.445,0,55.6,0,11.1,3.6,0,0,0,198.2,0.1,0,0,81.924,0,35.1,0,9.9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019/6/6,833.4,9895.702,198,203.999,5,60.1,0,11.9,0,0,0,0,22.8,894.1,0.1,0,9.9,0,0,0.2,516.4,706.764,0,1471.4,0.1,416.6,0.2,12,1249.22,0,0,0.1,0,11,0,0,63.5,0,501.5,0,0,0,229.633,29.6,12,227.7,220.4,0,0,7.1,0,0,0,13,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019/6/7,30.3,2716.599,13926.724,26013.258,421.8,103.561,109.9,748.838,0,0,425.073,0,9.9,0,218,729.2,114.1,242.8,0,0,352.8,405.895,0,975.3,9.964,270.733,0,9.9,360.1,0,1043.631,10,2614.8,5.133,150.299,2091.2,11.4,0,0,0,3.1,0,9.9,49.3,0,0,13.3,0,224.613,237.9,0,0.8,0,0,0,0,0,36,9.02,0,0,0,0,0,0,10.566,0.1,0,0.1,0,0,0,0,0,0,0,9.9,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019/6/8,446.4,4932.951,3492.578,19.9,37.8,934.51,1109.375,1106.6,0,717.9,3098,0,158.1,207.9,0,19.8,473.8,0,0,9.9,516.724,298.177,198.1,125.1,201.2,45.4,15.731,19.8,1207.531,0,14.47,2062.355,0,0.5,265.86,0,22.5,0,318,0,0,0,302.3,17.5,610.3,66.1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,10,0,10.1,0,0,0,0,11,2.1,0,0,16,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019/6/9,714.4,2442.635,5023.37,50302.25,3205.626,293.5,597.5,369.998,189.2,3759.7,1561.2,228.866,432.36,2669.1,0,1267.64,198,0.1,0,481.2,563.3,334.884,425.32,72,0.1,234.14,1.5,0,0,13.04,1484.63,0,0,0,0,0,25,0,13.7,399.2,0,0,39.9,9.9,4.333,18.3,0,198,0,0,44.68,236.6,224.6,0,0.3,0,0,0,0,19.9,36.9,0,16.5,0,0,0,0,7.9,0,0,0,0,0,9.9,0,0,0,9.9,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2019/6/10,7672.14,6368.783,15.9,60.3,1511.084,687.9,15748.474,15,235,0,1152.02,3,360.84,1226.8,0,19.8,0,2666.964,0,52.88,273.133,287.581,240.732,219.333,6674.712,228.253,84.266,10.9,526.86,35.4,614.718,0.1,1,6.2,284.2,0,232.9,0,207.9,0,32,0,86.366,59.133,0,100.3,0,0,0,0,0,0,0,0,0,198,0,0,53.8,29.9,0,46.565,9.9,29.8,0,0,2,5.52,5.4,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
