日期,凑阿夸,神楽七奈,神乐めあ,ユメノシオリ,白上吹雪,战斗吧歌姬,夏色祭,千草はな,本间向日葵,赤井心,犬山玉姬,百鬼绫目,花園セレナ,Kanna,有栖マナ,大神澪,乌拉の帝国,森永みう,静凛,Paryi,高槻律,紫咲诗音,萝卜子,癒月巧可,陆婉莹,椎名唯华,Siva_小虾鱼_,安堂いなり,千鈴めい,白音小雪,龙胆尊,mendako,亚绮-罗森,绿仙,樱巫女,物述有栖-爱丽丝,爱夏なつ,笹木咲,魔宵さきゅ,音俣るか,綾奈なな,莉姬リジ爱米莉,mugi,田中姬铃木雏,夜空梅露,大空昴,天神子兔音,YuNi,ENA,心斎桥オクト,來夢めると,Overidea_China
,3985.714286,2835,1603,1444.25,1357.307692,1330.5,1233.090909,1031.75,1001,878.9090909,706.2,628,593.8571429,589.5,557.5,556.8333333,549,545.4285714,490.75,420,393.1666667,386.3333333,369.1666667,364.6666667,328.5,328.1666667,313,308.625,284,266.1666667,200.5,167.4,166.5,162.25,148.5,147.5,109,86,79.66666667,73.5,55,48,38,0,0,0,0,0,0,0,0,0
2019/4/16,3041,,3901,,31,,649,,,16,,,,791,,,,,1088,,,,,,,,,,,209,,,,,,,,,,,,,,,,,,,,,,
2019/4/17,118,,258,,754,,479,,,3537,,,,568,,,,,105,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
2019/4/18(18:10~),3683,,113,,1459,,30,,,627,,,,994,,,,,1032,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
2019/4/19,3987,,145,,2247,,1294,,,304,,,,88,,,,,612,,,,,,,,,,,855,,,,,,,,,,,,,,,,,,,,,,
2019/4/20,3672,,135,,2273,,2865,,,22,,,,849,,,,,214,,,,,,,,,,,214,,,,,,,,,,,,,,,,,,,,,,
2019/4/21,5215,,136,,4335,,29,,,408,,,,9,,,,,24,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
2019/4/22,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/4/23(16:00~),2854,6,94,2069,26,,3551,1,926,33,547,9,310,18,545,5,,331,302,,1,251,77,263,,233,,4,,225,,16,,1,,,,,,,,,,,,,,,,,,
2019/4/24,2334,1,8740,419,573,1,1186,1,730,1,1,1540,375,274,852,408,,653,515,,656,251,1234,450,,1,,315,,683,,232,,1,,,,,,,,,,,,,,,,,,
2019/4/25,4232,1,905,1,1271,1,1454,1,1347,2741,1,874,570,477,68,1,,569,92,,81,1,1,280,,1115,,208,,1,,70,,160,,,,,,,,,,,,,,,,,,
2019/4/26,5532,1,1,1351,1069,2648,1,1766,1,1,1,1,77,1139,631,310,,304,1,,1,253,1,448,,184,,454,,77,,332,,1,,,,,,,,,,,,,,,,,,
2019/4/27,4240,5664,1,1938,1,1,1,483,1,722,752,291,216,189,527,1,,514,1,,162,251,194,311,,188,,310,,380,,1,,116,,,,,,,,,,,,,,,,,,
2019/4/28,4543,1,1,1,1168,1,1358,1,1,779,872,799,581,1678,550,745,,715,400,1,642,995,417,436,,81,,264,246,1,1,1,1,196,1,184,,86,121,,,,1,1,1,1,1,1,1,,,
2019/4/29,6881,1,1,1,2208,1,1,232,1,1,615,265,1,1,673,1639,,732,534,685,188,1,25,1,256,168,,227,213,194,170,1,276,1,86,1,,1,40,55,,,74,1,1,1,1,1,1,,,
2019/4/30,5468,1,1,1,231,1,669,1646,1,479,745,618,2028,1,614,234,549,1,971,155,630,317,268,1,401,1,313,687,393,347,231,187,57,177,211,111,109,1,78,92,55,48,2,1,1,1,1,1,1,1,1,
